"nanyangSiteId","siteNameZh","siteNameAlt1","latitude","longitude"
"fm-wf-001","仙四師爺宮","Hsien ssu shih-yeh kung, temple of Hsien ssu shih-yeh",3.145588,101.696447
"fm-wf-002","鍾呂仙師廟, 鍾萬宮","Chung-lü hsien-shih miao, temple to holy Immortals Chung and Lü, Chung Wan kung",3.134666,101.713936
"fm-wf-003","登彼岸","Teng-pi-an",3.159709,101.715723
"fm-wf-004","蓮花庵","Lien-hua an, Lotus Flower temple",3.146064,101.763219
"fm-wf-005","霖田祖廟, 三山國王廟","Lin-t'ien-tsu miao, San-shan kuo-wang miao, Temple of the Kings of the Three Mountains",3.222476,101.657851
"fm-wf-006","觀音亭, 威震宮","Kuan-yin t'ing, Wei-chen kung",3.188167,101.703728
"fm-wf-007","天后宮","T'ien-hou kung, Temple of Heavenly Queen",3.132112,101.712963
"fm-wf-008","譚公仙師廟","T'an-kung hsien-shih miao",3.021521,101.704768
"fm-wf-009","蓮林","Lien-lin",,
"fm-wf-010","雷王廟","Lei-wang miao, Temple of King of Thunder",3.158902,101.748382
"fm-wf-011","譚公仙聖廟","T'an-kung hsien-sheng miao",3.145922,101.763133
"fm-wf-012","彌陀巖","Mi-t'o-yen, Amitābha grotto",3.150862,101.760944
"fm-wf-013","大覺華寺","Ta-chüeh hua-ssu",3.1166,101.73451
"fm-wf-014","明法堂","Ming-fa t'ang",,
"fm-wf-015","（紫雲洞）觀音堂","(Tzu-yün tung)Kuan-yin t'ang",,
"fm-wf-016","千佛寺","Ch'ien-fo ssu, Temple of thousand Buddhas",3.117286,101.697148
"fm-wf-017","七寶禪寺","Ch'i-pao ch'an-ssu, Buddhist temple of Seven Treasures",3.080747,101.699006
"fm-wf-018","南天宮, 斗母宮","Nan-t'ien kung, Tou-mu kung",3.141716,101.764454
"fm-wf-019","廣東義山","Kuangtung Cemetery, Kuang-tung i-shan",3.120373,101.699528
"fm-wf-020","福建義山","Fukien Cemetery, Fu-chien i-shan",3.123904,101.697307
"fm-wf-021",,"Tombstones and memorial inscriptions outside Kuangtung and Fukien cemeteries",3.123851,101.697261
"fm-wf-022","廣肇會館","Kuang-chao hui-kuan, Landsmannschaft of people from Kuang-chou and Chao-ch'ing prefecrures",3.144035,101.696684
"fm-wf-023","惠州會館","Hui-chou hui-kuan, Landsmannschaft of people from Hui-chou prefecrures",3.145656,101.697445
"fm-wf-024","瓊州會館","Ch'iung-chou hui-kuan, Landsmannschaft of people from Ch'iung-chou prefecrures, i.e. the island of Hainan",3.121321,101.687636
"fm-wf-025","番禺會館","P'an-yü hui-kuan, Landsmannschaft of people from P'an-yü county to which the city of Canton belongs",3.145252,101.70647
"fm-wf-026","福建會館","Fu-chien hui-kuan, Landsmannschaft of Fukien people",3.148422,101.698384
"fm-wf-027","潮州八邑會館","Kuang-chao hui-kuan, Landsmannschaft of people from Kuang-chou and Chao-ch'ing prefectures",3.170503,101.697136
"fm-wf-028","安溪會館","An-ch'i hui-kuan, Landsmannschaft of people from An-ch'i county, Ch'üan-chou predecture, Fukien",3.151877,101.698427
"fm-wf-029","會寗公所","Hui-ning kung-so, Landsmannschaft of people from Ssu-hui and Kuang-ning, two adjoining counties of Chao-ch'ing prefecture",3.141916,101.697323
"fm-wf-030","台山會館","T'ai-shan hui-kuan, Landsmannschaft of people from T'ai-shan (or Hsin-ning)",3.144887,101.707057
"fm-wf-031","陳氏書院","Ch'en-shih shu-yüan, traditional-style lineage school and ancestor hall of whole Ch'en clan",3.140454,101.698402
"fm-wf-032","大同學校","Ta-t'ung hsüeh-hsiao",3.10554,101.705634
"fm-wf-033","積善堂","Chi-shan-t'ang",3.206588,101.663921
"fm-wf-034","理髮行工會","Li-fa-hang kung-hui, hairdresser's guild",,
"fm-wf-035","商業職員公會","Shang-yeh chih-yüan kung-hui, association of commercial employees",,
"fm-wf-036","同善醫院","T'ung-shan i-yüan, Selangor Tung Shin Hospital",3.146668,101.704043
"fm-wf-037","柔佛古廟","Jou-fu ku-miao",1.460688,103.763064
"fm-wf-038","華僑義山","Hua-ch'iao i-shan, Chinese cemetery",1.477502,103.75218
"fm-wf-039",,"Other tombstones and memorial sites",,
"fm-wf-040","寬柔學校","K'uan-joh süeh-hsiao, Foon Yew School",1.496959,103.761715
"fm-wf-041","普陀寺","P'u-t'o szu",1.847444,102.937214
"fm-wf-042","華僑公塚","Hua-ch'iao kung-chung, Chinese Cemetery",1.832113,102.950583
"fm-wf-043","廣東義山","Kuang-tung i-shan, Cantonese cemetery",1.863542,102.965376
"fm-wf-044","林氏宗祠, 九龍堂","Lin-shih tsung-t'zu, Chiu-lung t'ang, Ancestral Temple of Lin lineage",1.849165,102.927834
"fm-wf-045","茶陽會館回春醫社","Ch'a-yang hui-kuan Hui-ch'un i-she, hospital attached to Hakka Landsmannschaft of Ta-p'u county",1.855418,102.929594
"fm-wf-046",,"Chinese cemetery",,
"fm-wf-047",,"Chinese cemetery",,
"fm-wf-048","天后宮","T'ien-hou kung",1.702777,103.913991
"fm-wf-049",,"Kota Tinggi Cemetery",,
"fm-wf-050","廣西同鄉會","Kuang-hsi t'ung-hsiang-hui, Kwangsi Landsmannschaft",,
"fm-wf-051","福順廟","Fu-shun miao",2.430385,103.835283
"fm-wf-052","新觀音堂","Hsin Kuan-yin t'ang, New Kuan-yin Temple",2.050099,102.569948
"fm-wf-053","永春會館","Yung-ch'un hui-kuan, Landsmannschaft of people from Yung-ch'un",2.049687,102.569465
"fm-wf-054","大伯公宮","Ta-po-kung kung, Temple of Ta-po-kung",1.492252,103.403733
"fm-wf-055",,"Pontian cemetery",1.476872,103.397201
"fm-wf-056","慈光亭","Tz'u-kuang t'ing, Temple of Merciful Light (of Buddha)",2.502111,102.822189
"fm-wf-057","靈福宮","Ling-fu kung",1.749976,103.053268
"fm-wf-058","廣福宮","Kuang-fu kung, Kuang-fu temple",6.099965,100.367317
"fm-wf-059","觀音亭","Kuan-yin t'ing, Kuan-yin temple",6.112312,100.364249
"fm-wf-060","籃啅宮廟","Lan-cho kung miao, temple of Lord Lan-cho",,
"fm-wf-061",,"Chinese cemetery",6.137331,100.374182
"fm-wf-062","廣東暨汀州會館","Kuang-tung chi T'ing-chou hui-kuan, Landsmannschaft of people from Kuangtung province and from T'ing-chou prefecture, Fukien",6.11654,100.363082
"fm-wf-063","漳泉公所","Chang Ch'üan kung-so, Landsmannschaft of people originating from former two prefectures of Chang-chou and Ch'üan-chou Fukien",,
"fm-wf-064","福建公会","Fu-chien kung-hui, Landsmannschaft of all Fukien people",6.11762,100.364096
"fm-wf-065","廣福宮","Kuang-fu kung",5.298256,100.534093
"fm-wf-066","慶興廟","Ch'ing-hsing miao",6.362292,100.333347
"fm-wf-067","啅公宮","Cho-kung kung, temple of Lord Lan-cho",6.319243,99.851097
"fm-wf-068",,"Kuah cemetery",6.31401,99.86223
"fm-wf-069","萬家蘭義山","Wan-chia-lan i-shan, Padang Wahei cemetery",,
"fm-wf-070","琼州會館","Ch'iung-chou hui-kuan, Hainan Landsmannschaft of Kuah",,
"fm-wf-071","福德祠","Fu-te tz'u, Ta-po kung miao",5.637536,100.493719
"fm-wf-072","古城會館","Ku-ch'eng hui-kuan",5.638458,100.495268
"fm-wf-073","鎮興宮","Chen-hsing kung",6.143663,102.235337
"fm-wf-074","聖春宮","Sheng-ch'un kung",5.95042,102.207329
"fm-wf-075",,"Tombstones",,
"fm-wf-076",,"Memorial inscriptions",,
"fm-wf-077",,"Ancestral tablets from two families of Kapitans Yen顏 and Huang黃",,
"fm-wf-078",,"Tombstones",,
"fm-wf-079","雙溪檳南","Sungei Pinang, Cemetery near Tumpat",,
"fm-wf-080","青雲亭","Ch'ing-yün t'ing (Cheng Hoon Teng), temple of Blue Clouds",2.197599,102.246947
"fm-wf-081","寶山亭","Pao-shan t'ing",2.195987,102.255525
"fm-wf-082","保安宮","Pao-an kung",2.200475,102.251788
"fm-wf-083","勇全殿","Yung-ch‘üan tien",2.189149,102.25825
"fm-wf-084","清華宮","Ch'ing-hua kung",2.18934,102.292899
"fm-wf-085","大伯公祠","Ta-po-kung tz'u, Ta-po-kung Temple",2.265336,102.376367
"fm-wf-086","玉虛宮","Yü-hsü kung",2.20846,102.21667
"fm-wf-087","三多廟, 福德祠, 大伯公廟","San-to miao, Fu-te tz'u, Ta-po kung miao",2.196126,102.248203
"fm-wf-088","天德宮","T'ien-te kung",2.19722,102.246149
"fm-wf-089","和勝宮, 廣福廟","Ho-sheng kung, Kuang-fu miao",2.263988,102.208479
"fm-wf-090","湖海殿","Hu-hai tien",2.196675,102.249544
"fm-wf-091","觀音堂","Kuan-yin t'ang",2.197935,102.245097
"fm-wf-092","廣福寺","Kuang-fu ssu",,
"fm-wf-093","廣福宮, 鳳山分寺","Kuang-fu kung, Feng-shan fen-ssu",2.197913,102.245964
"fm-wf-094","靈山亭","Ling-shan t'ing",2.25646,102.25754
"fm-wf-095","華德宮","Hua-te kung",2.19837,102.245678
"fm-wf-096","德教會, 紫德教","Te-chiao hui, Moral Uplifting Society, Tz'u-te chiao",2.197293,102.244748
"fm-wf-097","三寶山","San-pao shan Cemetery, Bukit China",2.198658,102.256937
"fm-wf-098","嘉應義塚","Chia-ying i-chung, cemetery of Hakka people from Chia-ying chou",2.219431,102.323354
"fm-wf-099","瓊崖義山, 瓊崖息鴻亭","Ch'iung-yai i-shan, Hainan Cemetery, Ch'iung-yai hsi-hung t'ing",2.2386,102.225339
"fm-wf-100",,"Scattered tombstones up to 1850",,
"fm-wf-101",,"War Memorial of 1947",2.195573,102.255339
"fm-wf-102","福建會館","Fu-chien hui-kuan, Fukien Landsmannschaft",2.195871,102.247389
"fm-wf-103","瓊州會館","Ch'iung-chou hui-kuan, Landsmannschaft of people from Ch'iung chou prefecture, i.e. Hainan island",2.197507,102.245664
"fm-wf-104","永春會館","Yung-ch'un hui-kuan, Landsmannschaft of people from Yung-ch'un Department",2.196592,102.245079
"fm-wf-105","漳州會館","Chang-chou hui-kuan, Landsmannschaft of people from Chang-chou prefecture",2.209941,102.254505
"fm-wf-106","雷州會館, 雷陽社","Lei-chou hui-kuan, Landsmannschaft of people from Lei-chou prefecture, Lei-yang she",2.197219,102.24595
"fm-wf-107","應和會館","Ying-ho hui-kuan, Landsmannschaft of Hakka from Chia-ying chou",2.194681,102.256894
"fm-wf-108","茶陽會館","Ch'a-yang hui-kuan, Landsmannschaft of Hakka people from Ta-p'u county, Ch'ao-chou prefecture",2.197098,102.246085
"fm-wf-109","岡州會館","Kang-chou hui-kuan, Landsmannschaft of people from six countries Hsin-hui, T'ai-shan, En-p'ing, K'ai-ping, Ho-shan, and Chih-ch'i, belong to Kuang-chou and Chao-ch'ing prefecture",2.19773,102.247084
"fm-wf-110","梁氏神主","private residence of Liang 梁 family",,
"fm-wf-111","薛氏宗祠","Hsüeh-shih tsung-tz'u, ancestral temple of Hsüeh lineage",,
"fm-wf-112","陳宅","Residence of the Ch'en 陳宅 Family from Yung-ch'un, Fukien",,
"fm-wf-113","陳氏宗祠","Ch'en-shih tsung-tz'u, ancestral temple of the whole Ch'en clan",,
"fm-wf-114","林氏西河堂","Lin-shih hsi-ho t'ang, ancestral temple of the whole Lin clan",2.197126,102.246272
"fm-wf-115","賴氏宗祠","Lai-shih tsung-tz'u, ancestral temple of the Lai clan",2.195862,102.247416
"fm-wf-116","武吉士木閣","Bukit Sebukor Cemetery",,
"fm-wf-117",,"Hot Springs bathing house",,
"fm-wf-118",,"Chinese Cemetery",,
"fm-wf-119","千古庙","Ch'ien-ku-miao, Ssu shih-yeh miao, Kuan-yin t'ang",2.698888,101.943289
"fm-wf-120","天师爷宫","T'ien shih-yeh kung, the 'Temple of the Heavenly Master'",2.745993,101.941397
"fm-wf-121","谭公仙圣庙","T'an-kung hsien-sheng miao, Temple of T'an-kung",2.729481,101.939028
"fm-wf-122","紫竹（竺）亭","Tz'u-chu t'ing",2.737104,101.932118
"fm-wf-123","天公五老觀, 靑山觀","T'ien-kung wu-lao kuan, Ch'ing-shan kuan",2.738319,101.94372
"fm-wf-124",,"cemetery",,
"fm-wf-125","鵝城會館","T'ien shih-yeh kung, Temple of the Heavenly Master",2.728857,101.940489
"fm-wf-126","四邑會館","Ssu-i hui-kuan, Landsmannschaft of people from the four counties of T'ai shan, Hsin-hui, K'ai-p'ing, and En-p'ing",2.728927,101.940812
"fm-wf-127","瓊州會館","Ch'iung-chou hui-kuan, the landsmanschaft of people from Hainan",2.728126,101.941094
"fm-wf-128","海陸會館","Hai-lu hui-kuan, the landsmannschaft of people from the two counties Hai-feng and Lu-feng in Hui-chou prefecture",2.701618,101.940092
"fm-wf-129","兩廣義山","Liang Kuang i-shan, cemetery of people from Kuangtung and Kuangsi provinces",,
"fm-wf-130","三聖宮","San-sheng kung",2.741855,102.248905
"fm-wf-131",,"Chinese Cemetery",,
"fm-wf-132","牌坊","honorific arch, p'ai-fang",,
"fm-wf-133",,"Chinese Cemetery",,
"fm-wf-134","瓊州（公）廟, 天后宮","Ch'iung-chou (kung) miao, T'ien-hou kung, temple of Hainan people",3.81484,103.315808
"fm-wf-135","廣福廟","Kuang-fu miao",3.809362,103.314901
"fm-wf-136","地母廟","Ti-mu miao, temple of the Earth Mother",3.809499,103.31516
"fm-wf-137",,"Tombstones",,
"fm-wf-138","廣福廟","Kuang-fu miao",3.809491,103.314911
"fm-wf-139",,"Fukien Cemetery",,
"fm-wf-140","兩廣義山","Liang Kuang i-shan, cemetery for people from Kuangtung and Kuangsi",3.527241,101.899495
"fm-wf-141","天后宮","T'ien-hou kung, temple of T'ien-hou",4.185959,102.055044
"fm-wf-142","客屬義山","K'o-shu i-shan, Hakka cemetery",4.171488,102.042224
"fm-wf-143","客屬公會","K'o-shu kung-hui, Landsmannschaft of Hakka people",,
"fm-wf-144",,"memorial for those killed during the Japanese occupation, 1941-5",3.488296,102.348456
"fm-wf-145","瓊州會館","Ch'iung-chou hui-kuan, Landsmannschaft of Hainan people",3.480838,102.347137
"fm-wf-146","伯公廟, 列聖宮","Po-kung miao, Lieh sheng kung",3.488307,103.394805
"fm-wf-147",,"Cemetery in front of Po-kung miao",,
"fm-wf-148","瓊州會館","Ch'iung-chou hui-kuan, Landsmannschaft of people from Hainan ",,
"fm-wf-149","廣肇會館","Kuang Chao hui-kuan, Landsmannschaft of people from Kuang-chou and Chao-ch'ing prefectures",,
"fm-wf-150","觀音堂","Kuan-yin t'ang, Kuan-yin Temple",3.487811,103.39667
"fm-wf-151",,"Cemeteries",3.800458,101.880438
"fm-wf-152","天后宮","T'ien-hou kung, temple of the Queen of Heaven",3.453941,102.418712
"fm-wf-153","廣西會館","Kuang-hsi hui-kuan, Landsmannschaft of people from Kuangsi province",3.485996,102.35032
"fm-wf-154","海珠嶼大伯公廟","Hai-chu-yü Ta-po-kung miao",5.463811,100.307452
"fm-wf-155","廣福宮, 觀音亭","Kuang-fu kung, Kuan-yin t'ing, Pitt Street Chinese Temple",5.419219,100.339261
"fm-wf-156","大伯公福德祠","Ta-po kung Fu-te tz'u",5.41808,100.339933
"fm-wf-157","水美宮","Shui-mei kung",5.439653,100.306742
"fm-wf-158","鳳山寺","Feng-shan ssu",5.407141,100.336206
"fm-wf-159","開山王廟","K'ai-shan wang miao",5.390088,100.314139
"fm-wf-160","胡靖古廟","Hu Ching ku miao",5.419667,100.335833
"fm-wf-161","清雲巖, 蛇廟, 青龍廟","Ch'ing-yün yen, She-miao, Snake Temple, Ch'ing-lung miao",5.314256,100.285586
"fm-wf-162","魯班古廟","Lu Pan ku-miao, temple of Lu Pan",5.419324,100.336378
"fm-wf-163","大生佛堂","Ta-sheng fo-t'ang",5.41713,100.322499
"fm-wf-164","福壽宮","Fu-shou kung, Temple of Happiness and Long Life",5.429807,100.313444
"fm-wf-165","城隍廟","Ch'eng-huang miao, temple of the City God",5.406323,100.328947
"fm-wf-166","劉關張趙廟","Liu Kuan Chang Chao miao, ancestral temple of all with the family names Liu, Kuan, Chang, Chao",5.416937,100.339282
"fm-wf-167","清觀寺","Ch'ing-kuan ssu",5.383033,100.26202
"fm-wf-168","大圓佛堂","Ta-yüan fo-t'ang",5.417162,100.322478
"fm-wf-169","清龍宮","Ch'ing-lung kung",5.38676,100.311172
"fm-wf-170","極樂寺","Memorial for those killed during the Japanese occupation, 1941-5",5.399994,100.273674
"fm-wf-171","寶珠社","Poa-chu she",5.417618,100.339658
"fm-wf-172","天公壇","T'ien-kung t'an",5.409651,100.277443
"fm-wf-173","觀音寺, 蓮花閣","Kuan-yin ssu, Lien-hua ko, Lotos-Pavilion",5.418916,100.328093
"fm-wf-174","寶譽堂","Pao-yü t'ang",5.427928,100.314618
"fm-wf-175","慈濟宮","Tz'u-chi kung",5.415367,100.337107
"fm-wf-176","廣東暨汀州義山","Kuang-tung chi T'ing-chou i-shan, cemetery for Kuangtung and T'ing-chou Prefecture of Fukien",5.441643,100.297337
"fm-wf-177","福建義山","Fukien Cemeteries",5.439108,100.302074
"fm-wf-178","謝氏家塚","Hsieh-shih chia-chung, cemetery of the Hsieh lineage",5.415273,100.338265
"fm-wf-179","邱氏公塚","Ch'iu-shih kung-chung, cemetery of the Ch'iu lineage",5.414611,100.337404
"fm-wf-180","三江公塚","San-chiang kung-chung, cemetery of people originating from all parts of China other than Fukien, Kuang tung, and Kuangsi",,
"fm-wf-181",,"Memorial site for those Chinese citizens of Penang who lost their lives in China in the war against the Japanese, and who were killed by the Japanese occupation forces in Penang or elsewhere in Malaysia",5.405911,100.282754
"fm-wf-182","嘉應會館","Chia-ying hui-kuan, Hakka Landsmannschaft of Chia-ying chou",5.418898,100.340283
"fm-wf-183","潮州會館","Ch'ao-chou hui-kuan, Ch'ao-chou Landsmannschaft",5.416656,100.338219
"fm-wf-184","瓊州會館","Ch'iung-chou hui-kuan, Hainan-Landsmannschaft of Ch'iung-chou",5.420381,100.334607
"fm-wf-185","平章會館, 平章公館, 華人大會堂","P'ing-chang hui-kuan, P'ing-chang kung-kuan, Hua-jen ta-hui-t'ang, Chinese Town Hall",5.418867,100.338846
"fm-wf-186","寧陽會館,甯陽舘","Ning-yang hui-kuan, Landsmannschaft of people from Ning-yang county, i.e. Hsin-ning 新寧 (later T'aishan 台山) , Kuang-chou Prefecture, Ning-yang kuan",5.418331,100.339977
"fm-wf-187","五福書院","Wu-fu shu-yüan",5.419063,100.334983
"fm-wf-188","南海會館","Nan-hai hui-kuan, Landsmannschaft of people from Nan-hai County, Kuang-chou Prefecture",5.419427,100.333657
"fm-wf-189","香山/中山會館","Hsiang-shan or Chung-shan hui-kuan, Landsmannschaft of people from Hsiang-shan county, Kuang-chou prefecture",5.418608,100.340167
"fm-wf-190","增龍會館","Tseng-lung hui-kuan, Landsmannschaft of people from Tseng-ch'eng and Lung-men counties, Kuang-chou Prefecture, mainly Hakka",5.419202,100.340448
"fm-wf-191","廣東暨汀州會館","Kuang-tung chi T'ing-chou hui-kuan, Landsmannschaft of people from Kuangtung province and from T'ing-chou prefecture, Fukien",5.418284,100.340672
"fm-wf-192","惠安公會","Hui-an kung-hui, Landsmannschaft of people from Hui-an county, Ch'uan-chou prefecture",5.412367,100.331829
